match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-01-14,NAVI,G2,2,0,1516.0,1484.0
2016-01-15,G2,FNATIC,0,2,1468.736306793522,1515.263693206478
2016-01-15,NAVI,?,2,1,1531.263693206478,1484.736306793522
2016-01-16,LUMINOSITY,FNATIC,1,2,1484.7024671725246,1530.5612260339533
2016-01-16,ENVY,NAVI,0,2,1485.4358728782763,1545.8278203282016
2016-01-17,FNATIC,NAVI,2,0,1547.2638265489336,1529.1252198132213
2016-01-19,G2,FLIPSID3,0,2,1454.1721796717984,1514.5641271217237
2016-01-22,ASTRALIS,DIGNITAS,16,9,1516.0,1484.0
2016-01-22,LUMINOSITY,FAZE,9,16,1469.4064897066457,1515.2959774658789
2016-01-22,LUMINOSITY,SK,2,1,1486.8117428185847,1482.594746888061
2016-01-22,NAVI,SK,16,3,1542.995132250074,1468.7248344512084
2016-01-22,NAVI,FAZE,16,9,1557.7222347390634,1500.5688749768894
2016-01-22,MOUSESPORTS,ASTRALIS,19,22,1484.736306793522,1531.263693206478
2016-01-23,NAVI,DIGNITAS,2,0,1570.3772523143875,1471.344982424676
2016-01-23,FAZE,LUMINOSITY,0,2,1483.9356665210623,1503.4449512744118
2016-01-23,MOUSESPORTS,DIGNITAS,0,2,1468.1199187189186,1487.9613704992794
2016-01-23,ASTRALIS,LUMINOSITY,0,2,1513.9853235098135,1520.7233209710762
2016-01-24,LUMINOSITY,NAVI,0,2,1506.9945270204917,1584.106046264972
2016-01-26,DIGNITAS,MOUSESPORTS,0,2,1471.048629919272,1485.032659298926
2016-01-31,MOUSESPORTS,DIGNITAS,0,2,1468.3890184764828,1487.6922707417152
2016-02-04,FLIPSID3,DIGNITAS,0,2,1497.3290940795212,1504.9273037839178
2016-02-04,ENVY,DIGNITAS,0,2,1470.3325459392445,1520.0306307229496
2016-02-05,G2,ASTRALIS,1,2,1440.8997831898678,1527.2577199917441
2016-02-06,ENVY,CLOUD9,2,0,1487.6954717440447,1482.6370741951998
2016-02-06,CLG,G2,2,1,1513.3042849524202,1427.5954982374476
2016-02-06,ASTRALIS,ENVY,1,2,1509.4436449258665,1505.5095468099223
2016-02-06,DIGNITAS,CLG,2,0,1535.7209097473344,1497.6140059280353
2016-02-07,ASTRALIS,CLG,2,0,1524.8990803385725,1482.1585705153293
2016-02-07,ENVY,DIGNITAS,3,0,1522.8973354575091,1518.3331210997476
2016-02-09,ASTRALIS,NAVI,16,13,1543.599571571048,1565.4055550324965
2016-02-09,DIGNITAS,SK,1,2,1500.0639747491762,1486.9939808017798
2016-02-09,NAVI,ASTRALIS,16,14,1580.4026688780793,1528.6024577254652
2016-02-09,SK,ENVY,19,22,1472.6415309509086,1537.2497853083803
2016-02-09,ENVY,SK,16,6,1550.3082931225051,1459.5830231367838
2016-02-10,FAZE,VIRTUS.PRO,16,10,1500.6749296813214,1483.260736839741
2016-02-10,G2,ASTRALIS,16,8,1448.120276686251,1508.077679276662
2016-02-10,VIRTUS.PRO,FAZE,9,16,1468.0620191691307,1515.8736473519316
2016-02-10,ASTRALIS,G2,16,10,1521.3436259224804,1434.8543300404324
2016-02-11,VIRTUS.PRO,FNATIC,9,16,1455.6475032149176,1559.6783425031467
2016-02-11,NAVI,SK,12,16,1559.0526550894672,1480.933036925396
2016-02-11,FNATIC,VIRTUS.PRO,16,12,1571.0257639412396,1444.3000817768248
2016-02-11,SK,NAVI,16,7,1500.471154082373,1539.5145379324902
2016-02-12,CLOUD9,CLG,16,12,1498.6150383003283,1466.1806064102009
2016-02-12,CLG,CLOUD9,5,16,1451.6699432195985,1513.1257014909306
2016-02-12,MOUSESPORTS,E-FRAG.NET,2,0,1485.8407543409749,1482.548264135508
2016-02-13,MOUSESPORTS,FLIPSID3,2,0,1502.3696192037394,1480.8002292167566
2016-02-14,E-FRAG.NET,FLIPSID3,1,2,1466.4677648318266,1496.880728520438
2016-02-14,MOUSESPORTS,FLIPSID3,3,0,1518.1168674738817,1481.1334802502956
2016-02-15,DIGNITAS,VIRTUS.PRO,16,14,1513.5177790422497,1430.8462774837512
2016-02-15,FNATIC,G2,16,5,1581.0573581700617,1424.8227358116103
2016-02-15,VIRTUS.PRO,DIGNITAS,5,16,1418.5831789282888,1525.780877597712
2016-02-15,G2,FNATIC,7,16,1415.5689026637185,1590.3111913179534
2016-02-16,ASTRALIS,FLIPSID3,16,7,1535.5001038881255,1466.9770022846506
2016-02-16,FLIPSID3,ASTRALIS,7,16,1454.0923190645258,1548.3847871082503
2016-02-16,ENVY,FNATIC,4,16,1536.142397116052,1604.4770873244065
2016-02-16,FNATIC,ENVY,5,16,1585.3701191501484,1555.2493652903102
2016-02-17,VIRTUS.PRO,NAVI,9,16,1407.937761609571,1550.159955251208
2016-02-17,NAVI,VIRTUS.PRO,16,12,1559.9532471591726,1398.1444697016063
2016-02-17,FLIPSID3,E-FRAG.NET,1,1,1454.6619885026962,1465.8980953936561
2016-02-18,E-FRAG.NET,FLIPSID3,0,2,1449.380833868164,1471.1792500281883
2016-02-19,ASTRALIS,G2,19,17,1558.5498845649824,1405.4038052069864
2016-02-19,ENVY,FNATIC,16,10,1572.6330125344532,1567.9864719060054
2016-02-19,ENVY,FNATIC,13,16,1556.419044187324,1584.2004402531345
2016-02-20,FNATIC,ENVY,16,7,1598.9237794328785,1541.69570500758
2016-02-20,FNATIC,DIGNITAS,19,17,1611.6043190858486,1513.100337944742
2016-02-20,ASTRALIS,G2,13,16,1535.9211016389243,1428.0325881330446
2016-02-20,ENVY,ASTRALIS,9,16,1525.4297991795618,1552.1870074669425
2016-02-21,CLG,LIQUID,0,2,1437.881379025517,1513.7885641940816
2016-02-21,ASTRALIS,FNATIC,13,16,1538.8969085673539,1624.8944179854373
2016-02-21,ASTRALIS,DIGNITAS,16,11,1553.7111108251765,1498.2861356869194
2016-02-21,FNATIC,G2,16,8,1632.6885273059343,1420.2384788125476
2016-02-21,FNATIC,G2,16,7,1639.96583376579,1412.9611723526918
2016-02-21,DIGNITAS,ASTRALIS,12,16,1484.817116554496,1567.1801299576
2016-02-21,ASTRALIS,FNATIC,14,16,1554.4838454016842,1652.6621183217057
2016-02-22,CLOUD9,TEMPO STORM,1,2,1496.5215280049752,1516.6041734859555
2016-02-22,CLG,CLOUD9,2,0,1456.556504001687,1477.846403028805
2016-02-23,E-FRAG.NET,SK,1,1,1451.7168168063147,1498.1351711442223
2016-02-23,ENVY,VIRTUS.PRO,20,22,1503.816986532971,1419.7572823481971
2016-02-23,MOUSESPORTS,G2,16,10,1529.416912315049,1401.6611275115245
2016-02-23,G2,MOUSESPORTS,16,13,1423.2929302405732,1507.7851095860003
2016-02-23,VIRTUS.PRO,ENVY,13,16,1407.5545689737419,1516.0196999074262
2016-02-24,ASTRALIS,VIRTUS.PRO,16,3,1564.0939617511697,1397.9444526242564
2016-02-24,VIRTUS.PRO,ASTRALIS,11,16,1389.06148161362,1572.9769327618062
2016-02-24,SK,FNATIC,11,16,1488.8165434698174,1661.9807459961107
2016-02-24,FNATIC,SK,16,6,1670.6069357562378,1480.1903537096903
2016-02-24,NAVI,NIP,16,13,1573.2193795823164,1486.7338675768563
2016-02-25,FNATIC,ASTRALIS,3,0,1682.225624440613,1561.358244077431
2016-02-26,HELLRAISERS,MOUSESPORTS,15,19,1484.3584575550556,1523.4266520309448
2016-02-27,LIQUID,HELLRAISERS,2,1,1528.436489960543,1469.7105317885942
2016-02-27,SK,CLG,13,16,1463.1036503315893,1473.643207379788
